,Rteam_TOP,Bteam_TOP,Rteam_MIDDLE,Bteam_MIDDLE,Rteam_BOTTOM,Bteam_BOTTOM,Rteam_SUPPORT,Bteam_SUPPORT,Rteam_JUNGLE,Bteam_JUNGLE
17516,Renekton,Sylas,Fizz,Malzahar,Caitlyn,Kaisa,Karma,Pyke,Elise,Hecarim
17517,Viktor,Jayce,Darius,Sylas,Ezreal,Kaisa,Pyke,Nautilus,Camille,Evelynn
17521,Corki,Aatrox,Yasuo,TwistedFate,Ashe,Kaisa,Janna,Karma,JarvanIV,LeeSin
17522,Gnar,Akali,Vladimir,Garen,Jinx,Sivir,Thresh,Alistar,Qiyana,LeeSin
17525,Olaf,Nasus,Azir,Camille,Xayah,Lucian,Rakan,Pyke,Nidalee,Sylas
17526,Kayle,Kled,Aatrox,Corki,Kaisa,Lucian,Braum,Rakan,LeeSin,Sylas
17529,Aatrox,Fiora,Katarina,Mordekaiser,Xayah,Kaisa,Nami,Nautilus,Khazix,Nidalee
17530,Irelia,Illaoi,Sylas,Vladimir,Ezreal,Pantheon,Nautilus,Taliyah,Karthus,Gragas
17531,Riven,Mordekaiser,Talon,Qiyana,Tristana,Ezreal,Sion,Lulu,LeeSin,Evelynn
17533,Camille,Jayce,Rumble,Azir,Kaisa,Caitlyn,Zilean,Morgana,Nidalee,Sylas
17536,Swain,Renekton,Akali,Kassadin,Vayne,Kaisa,Fiddlesticks,Karma,Karthus,Nidalee
17540,Aatrox,Jayce,Sylas,Orianna,Sivir,Kaisa,Soraka,Nautilus,Sejuani,XinZhao
17542,Jax,Sylas,Taliyah,Fizz,Vayne,Kaisa,Blitzcrank,Velkoz,Olaf,Gragas
17543,Riven,Ornn,Talon,Fizz,Xayah,Jinx,Rakan,Karma,Karthus,LeeSin
17544,Fiora,Riven,Aatrox,Kassadin,Xayah,Ashe,Blitzcrank,Volibear,Sylas,Graves
17548,Aatrox,Kennen,Malzahar,Sylas,Vayne,Tristana,Nautilus,Blitzcrank,Zac,Nidalee
17550,Camille,Renekton,Anivia,Corki,Ezreal,Lucian,TahmKench,Karma,RekSai,MasterYi
17553,Akali,Talon,AurelionSol,Qiyana,Ashe,Ezreal,Janna,Volibear,Khazix,Elise
17558,Pantheon,Renekton,Pyke,Malzahar,Sivir,Ezreal,Kennen,Bard,LeeSin,Khazix
17559,Akali,Darius,Tristana,Zed,Yasuo,Karma,Pyke,Thresh,LeeSin,LeeSin
17561,Gangplank,Akali,Renekton,Talon,Lucian,Ashe,Pyke,Alistar,Elise,Fiddlesticks
17568,Vladimir,Jayce,Zed,Karthus,Varus,Xayah,Blitzcrank,Thresh,DrMundo,LeeSin
17570,Renekton,Pantheon,Lissandra,Zilean,MissFortune,Jinx,Thresh,Braum,Graves,Ekko
17574,Gangplank,Ryze,Zilean,Anivia,Lucian,Twitch,Janna,Morgana,Ekko,RekSai
17577,Irelia,Jayce,Viktor,Talon,Twitch,Lucian,Thresh,Lux,RekSai,Ekko
17578,Jayce,Irelia,Pantheon,Viktor,Ezreal,Caitlyn,Soraka,Bard,Taliyah,Kindred
17580,Jax,Kennen,TwistedFate,Fizz,Xayah,Lucian,Thresh,Blitzcrank,XinZhao,LeeSin
17593,Quinn,Ryze,MasterYi,Renekton,Kaisa,Heimerdinger,Alistar,Janna,Taric,Evelynn
17598,Garen,Gangplank,TwistedFate,Orianna,Caitlyn,Ashe,Morgana,Soraka,LeeSin,Hecarim
17600,Jayce,Shen,Kayle,Talon,Ezreal,Xayah,Thresh,Bard,Karthus,Taliyah
17602,Camille,Renekton,Yasuo,Leblanc,Heimerdinger,Kaisa,Morgana,Zac,Gragas,LeeSin
17605,Illaoi,Garen,Akali,Anivia,Lucian,Xayah,Blitzcrank,Soraka,Nidalee,Elise
17607,Rumble,Jayce,Katarina,Galio,Kaisa,Varus,Leona,Thresh,Khazix,Qiyana
17608,Gangplank,Renekton,Irelia,Kassadin,Lucian,Kaisa,Nautilus,Leona,Karthus,Khazix
17610,Ryze,Pantheon,Karma,Cassiopeia,Kaisa,Ezreal,Shaco,Xerath,RekSai,JarvanIV
17613,Kled,Rengar,Talon,Yasuo,Ezreal,Xayah,Pyke,Morgana,Taliyah,Ekko
17616,Vladimir,Renekton,Akali,Orianna,Draven,Kaisa,Zac,Nautilus,Olaf,Elise
17620,Camille,Fiora,Leblanc,Azir,Lucian,Xayah,Thresh,Leona,Ekko,Shyvana
17625,Akali,Ornn,Katarina,Zed,Xayah,Kaisa,Rakan,Karma,Khazix,Nidalee
17627,Vladimir,Jayce,Garen,Talon,Kaisa,Jinx,Thresh,Morgana,Taric,Taliyah
17628,Akali,Shen,Yasuo,Velkoz,Ezreal,Kaisa,Yuumi,Leona,RekSai,Jax
17630,Garen,Riven,Pyke,Ahri,Lucian,Jinx,Thresh,Braum,Ekko,Karthus
17632,Camille,Kennen,Annie,Pantheon,Ezreal,Xayah,Leona,Braum,Karthus,DrMundo
17634,Tristana,Ryze,Zed,Zoe,Jhin,Ezreal,Morgana,Karma,Elise,XinZhao
17637,Fiora,Aatrox,Ezreal,Cassiopeia,Lucian,Ashe,Morgana,Gragas,LeeSin,Ekko
17640,Kled,Poppy,Zoe,Katarina,Xayah,Kaisa,Thresh,Gragas,Ekko,Zac
17645,Irelia,Lucian,Orianna,Viktor,Xayah,Ezreal,Thresh,Yuumi,Ekko,Elise
17649,Urgot,Poppy,Annie,Akali,Xayah,Jinx,Thresh,Alistar,RekSai,LeeSin
17650,Vladimir,Heimerdinger,Qiyana,Quinn,Jinx,Ezreal,Lulu,Thresh,Rengar,LeeSin
17651,Vladimir,Garen,Qiyana,Lissandra,Kaisa,Xayah,Ornn,Thresh,Khazix,Nidalee
17652,Riven,Shen,Garen,Irelia,Lucian,Xayah,Pyke,Rakan,Twitch,RekSai
17656,Lucian,Fiora,Annie,Nocturne,Ashe,Jhin,Fiddlesticks,Thresh,Nidalee,Ekko
17662,Gangplank,Malzahar,Pyke,Akali,Jhin,Ashe,Blitzcrank,Karma,Ekko,LeeSin
17664,Poppy,Vladimir,Mordekaiser,Leblanc,MissFortune,Kaisa,Nautilus,Morgana,MasterYi,Urgot
17666,Darius,Riven,Zed,Akali,Xayah,Kaisa,Sona,Thresh,Nidalee,Olaf
17670,Rumble,Jayce,Lucian,Ahri,Kaisa,Ashe,Nautilus,Thresh,Ekko,Kayn
17672,Urgot,Hecarim,Orianna,Jayce,Lucian,Kaisa,Pyke,Yuumi,LeeSin,Nidalee
17673,Riven,Irelia,TwistedFate,Akali,Kaisa,Ezreal,Thresh,Soraka,LeeSin,Elise
17677,Jayce,Aatrox,Akali,Sylas,Kaisa,Ezreal,Bard,Karma,LeeSin,Nidalee
17679,Darius,Aatrox,Lissandra,Akali,Xayah,Caitlyn,Swain,Bard,LeeSin,Elise
17681,Darius,Jax,Akali,Pantheon,Veigar,Xayah,Thresh,Yuumi,Ekko,Nidalee
17683,Akali,Camille,Zed,TwistedFate,Kalista,Tristana,Pyke,Leona,Twitch,Karthus
17686,Sylas,Kennen,Ahri,Zed,Xayah,Ashe,Leona,Thresh,Taliyah,Vi
17687,Heimerdinger,Pantheon,Akali,Pyke,Ezreal,Lucian,Swain,Lux,Shaco,Poppy
17693,Jax,Irelia,Akali,TwistedFate,Ashe,Swain,Nautilus,Leona,Gragas,LeeSin
17694,Fiora,Mordekaiser,Zoe,Aatrox,Ashe,MissFortune,Morgana,Gragas,LeeSin,Shyvana
17696,Kennen,Ryze,Katarina,Renekton,Kaisa,Caitlyn,Leona,Morgana,RekSai,LeeSin
17699,Camille,Mordekaiser,Akali,Katarina,Lucian,Xayah,Leona,Rakan,Nidalee,RekSai
17703,Gangplank,Ryze,TwistedFate,Zed,Caitlyn,Lucian,Blitzcrank,Braum,Ekko,XinZhao
17705,Aatrox,Jax,Fizz,Zed,Ashe,MissFortune,Janna,Soraka,Qiyana,Karthus
17706,Jax,Fiora,Orianna,Qiyana,Yasuo,Xayah,Morgana,Lulu,LeeSin,Nidalee
17709,Fiora,Kled,Zed,Katarina,Ashe,Xayah,Gragas,Rakan,Ekko,Shyvana
17712,Vladimir,Garen,Zed,Heimerdinger,Syndra,Ashe,Sona,Karma,RekSai,Elise
17714,Ezreal,Kayle,Rumble,Zed,Xayah,Garen,Rakan,Thresh,Pantheon,Khazix
17723,Akali,Riven,Pantheon,Ezreal,Yasuo,Kaisa,Rakan,Blitzcrank,Qiyana,LeeSin
17725,Viktor,Darius,Zed,Fizz,Xayah,Kaisa,Nautilus,Leona,Zac,Taliyah
17727,Jayce,Irelia,Zoe,Galio,Yasuo,Xayah,Pyke,Thresh,Ekko,RekSai
17729,Pantheon,Camille,Yasuo,Vladimir,Caitlyn,Lucian,Morgana,Zyra,Gragas,LeeSin
17730,Aatrox,Akali,Zed,TwistedFate,Twitch,Tristana,Shen,Nautilus,Elise,JarvanIV
17732,Quinn,Jayce,Talon,Galio,Caitlyn,Xayah,Morgana,Janna,Ekko,LeeSin
17733,Garen,Kayle,Teemo,Zed,Ashe,Heimerdinger,Swain,Rakan,Jax,Kindred
17734,Mordekaiser,Kennen,Tristana,Ryze,Jhin,Ezreal,Rakan,Lux,Ivern,Skarner
17737,Jax,Gragas,Ryze,Zed,Xayah,Kaisa,Rakan,Morgana,Ekko,Nidalee
17739,Kennen,Akali,Zed,Aatrox,Ezreal,Xayah,Gragas,Rakan,Elise,LeeSin
17740,Akali,Kled,Talon,Mordekaiser,Ashe,Xayah,Shen,Janna,Elise,Poppy
17742,Akali,Fiora,Irelia,Renekton,Tristana,MissFortune,Leona,Lux,RekSai,Nidalee
17745,Tristana,Karma,Akali,Talon,Xayah,Kaisa,Rakan,Morgana,JarvanIV,Shyvana
17747,Karma,Kled,Pantheon,Leblanc,Xayah,Kaisa,Nautilus,Alistar,Elise,Shyvana
17749,Vladimir,Kayle,Qiyana,Jayce,Ashe,Ezreal,Thresh,Pyke,Shyvana,Gragas
17751,Poppy,Renekton,Garen,Pantheon,Lucian,Ezreal,Blitzcrank,Pyke,Shyvana,Twitch
17760,Shen,Vayne,Qiyana,Syndra,Kaisa,Kaisa,Xerath,Ashe,LeeSin,Nunu
17770,Fiora,Yasuo,Ahri,Aatrox,Kaisa,Kaisa,Nautilus,Pyke,LeeSin,Ekko
17774,Sylas,Mordekaiser,Yasuo,Ezreal,Kaisa,Draven,Lulu,Thresh,Hecarim,LeeSin
17775,Poppy,Yasuo,Talon,Camille,Kaisa,Ashe,Brand,Janna,Nidalee,Elise
17779,Riven,Riven,Katarina,TwistedFate,Kaisa,Ryze,Lulu,Yuumi,Kayn,Evelynn
17780,Camille,Fiora,Katarina,Ahri,Varus,Kalista,Thresh,Lulu,MasterYi,Shaco
17783,Yasuo,Renekton,Corki,Kassadin,Ezreal,Lucian,Morgana,Alistar,Gragas,Camille
17784,Vayne,Jax,Akali,Aatrox,Ezreal,Ezreal,Leona,Blitzcrank,LeeSin,Amumu
17792,Yasuo,Garen,Qiyana,JarvanIV,Vayne,Ashe,Maokai,Swain,LeeSin,Twitch
17794,Garen,Camille,Karthus,Akali,Xayah,Kaisa,Blitzcrank,Pyke,Skarner,Taliyah
17798,Akali,Pantheon,Irelia,Leblanc,Xayah,Kaisa,Fiddlesticks,Janna,Taliyah,Elise
17803,Renekton,Gangplank,Ekko,Syndra,Kaisa,Vayne,Pyke,Poppy,Khazix,Karthus
17804,Jayce,Irelia,Galio,Kassadin,Kaisa,Lucian,Alistar,Karma,Taliyah,Ekko
17807,Riven,Mordekaiser,Irelia,Pantheon,Ashe,Ezreal,Thresh,Lulu,Shaco,LeeSin
17809,Aatrox,Ornn,Talon,Ahri,Kaisa,Xayah,Blitzcrank,Karma,Elise,LeeSin
17811,Aatrox,Camille,Talon,Nocturne,Ashe,Kaisa,Thresh,Karma,Taliyah,Olaf
17813,Jax,Aatrox,Malzahar,Renekton,Varus,Kaisa,Soraka,Thresh,Nunu,Elise
17814,Aatrox,Garen,Ezreal,Lissandra,Kalista,Xayah,Thresh,Lux,Gragas,Nidalee
17815,Aatrox,Viktor,Orianna,Annie,MissFortune,Varus,Nautilus,Velkoz,LeeSin,Khazix
17816,Riven,Fiora,Irelia,Ahri,MissFortune,Ezreal,Nami,Janna,DrMundo,Karthus
17818,Teemo,Garen,Riven,Kassadin,Ashe,Kaisa,LeeSin,Blitzcrank,Nidalee,Elise
17821,Pyke,Rengar,Zed,Zoe,Jhin,Kaisa,Maokai,Rakan,Taliyah,JarvanIV
17823,Heimerdinger,Vladimir,Pyke,Fizz,Caitlyn,Ezreal,Karma,Thresh,RekSai,Khazix
17824,Heimerdinger,Mordekaiser,Lucian,Zilean,Ezreal,Kaisa,Janna,Blitzcrank,Ekko,JarvanIV
17826,Leona,Riven,Ahri,Zoe,Jinx,Kaisa,Thresh,Lux,Warwick,Elise
17827,Renekton,Malphite,Kassadin,Katarina,Ashe,Kaisa,Gragas,Zac,Kindred,XinZhao
17828,Quinn,Camille,Ezreal,Katarina,Lucian,Kaisa,Alistar,Pyke,Shyvana,Khazix
17829,Katarina,Chogath,Jayce,Qiyana,Kaisa,Lucian,Blitzcrank,Leona,Elise,RekSai
17830,Akali,MonkeyKing,Qiyana,Taliyah,Xayah,Kaisa,Blitzcrank,Yuumi,Karthus,JarvanIV
17834,Riven,Karthus,Ryze,Yasuo,Vayne,Ezreal,Malzahar,Shaco,LeeSin,Graves
17836,Riven,Darius,Velkoz,Yasuo,Kalista,Xayah,Blitzcrank,Rakan,Elise,Khazix
17838,Renekton,Shen,Aatrox,Ryze,Ezreal,Riven,Nami,Lulu,Rammus,Skarner
17840,Darius,Shen,Pantheon,Yasuo,Ezreal,TwistedFate,Pyke,Lulu,Zac,Rengar
17851,Illaoi,Malphite,Vladimir,Katarina,Ashe,Yasuo,Morgana,Nautilus,Graves,LeeSin
17852,Sylas,Yasuo,Anivia,Akali,Ashe,Caitlyn,Morgana,Pyke,Nidalee,Riven
17855,Akali,Mordekaiser,LeeSin,Yasuo,Xayah,Ezreal,Gragas,Shaco,RekSai,Volibear
17856,Gangplank,Kayle,Ezreal,Pyke,Kaisa,Ezreal,Nautilus,Xerath,Kindred,Nidalee
17858,Fiora,Singed,Zed,Ahri,Heimerdinger,Taliyah,Lulu,Leona,LeeSin,JarvanIV
17859,Kayle,Kennen,Irelia,Sylas,Lucian,Ezreal,Leona,Karma,Karthus,Maokai
17867,Rumble,Akali,Ornn,Renekton,MissFortune,Kaisa,Bard,JarvanIV,Gragas,Nidalee
17868,Kled,Mordekaiser,Leblanc,Talon,Xayah,Ezreal,Leona,Morgana,Nidalee,Taliyah
17869,Neeko,Quinn,Qiyana,Leblanc,Ezreal,Kaisa,Blitzcrank,Thresh,Taliyah,LeeSin
17870,Camille,Renekton,Katarina,Garen,Caitlyn,Kaisa,Morgana,Janna,Ekko,Karthus
17883,Gangplank,Garen,Ryze,Yasuo,Lucian,Jhin,Karma,Morgana,Sejuani,Nidalee
17885,Ryze,Akali,Jayce,Vladimir,Caitlyn,Xayah,Lux,Rakan,Karthus,RekSai
17891,Rumble,Tristana,Zoe,TwistedFate,Kaisa,Ashe,Blitzcrank,Braum,Olaf,Karthus
17892,Ryze,Akali,Leblanc,Talon,Lucian,Xayah,Morgana,Nautilus,LeeSin,Nidalee
17895,Garen,Ornn,Yasuo,Azir,Ezreal,Kaisa,Morgana,Lulu,Nidalee,Evelynn
17896,Akali,Vayne,Qiyana,Azir,Garen,Kaisa,Yuumi,Leona,Ekko,XinZhao
17900,Aatrox,Kayle,Ryze,Zed,MissFortune,Lucian,Pyke,Braum,Nidalee,Ekko
17902,Teemo,Nasus,Vladimir,Yasuo,Ezreal,Jinx,Poppy,Pyke,Skarner,LeeSin
17906,Poppy,Lucian,Lissandra,Ryze,Ashe,Kaisa,Karma,Morgana,Taliyah,XinZhao
17908,Kayle,Urgot,Lissandra,Heimerdinger,Caitlyn,Xayah,Morgana,Rakan,Graves,LeeSin
17910,Renekton,Garen,Ezreal,Akali,Xayah,Kaisa,Morgana,Alistar,Karthus,Ekko
17912,Sylas,Mordekaiser,Katarina,Akali,Kaisa,Lucian,Fiddlesticks,Thresh,LeeSin,Olaf
17914,Aatrox,Renekton,Galio,Rumble,Caitlyn,Ashe,Nautilus,Nami,LeeSin,Graves
17916,Darius,Kayle,TwistedFate,Orianna,Kalista,MissFortune,Taric,Thresh,MasterYi,LeeSin
17918,Karthus,Tryndamere,Tristana,Zoe,Xayah,Jinx,Nautilus,Thresh,Ryze,LeeSin
17920,Camille,Sion,Fizz,TwistedFate,MissFortune,Caitlyn,Janna,Pyke,LeeSin,Gragas
17927,Vladimir,Gangplank,Qiyana,Urgot,Draven,Ashe,Thresh,Pyke,LeeSin,Karthus
17928,Jayce,Poppy,Cassiopeia,Darius,Kaisa,Ezreal,Bard,Fiddlesticks,Ekko,Hecarim
17930,Aatrox,Kayle,Cassiopeia,Orianna,Kaisa,Vayne,Nautilus,Thresh,LeeSin,Taliyah
17932,Mordekaiser,Ornn,TwistedFate,Fizz,Kaisa,Lucian,Nautilus,Bard,RekSai,Ekko
17933,Camille,Illaoi,Vladimir,Fizz,Ezreal,Kaisa,Thresh,Nautilus,Taliyah,LeeSin
17934,Illaoi,Shen,Kassadin,Zoe,MissFortune,Jhin,Zyra,Pyke,LeeSin,Karthus
17935,Camille,Fiora,Ahri,Talon,Lucian,Ezreal,Thresh,Xerath,Khazix,Gragas
17938,Irelia,Renekton,AurelionSol,Yasuo,Jinx,Lucian,Thresh,Nautilus,JarvanIV,Gragas
17939,Pantheon,Riven,MasterYi,Yasuo,Ashe,Kaisa,Braum,Blitzcrank,Karthus,Gragas
17942,Mordekaiser,Swain,Garen,Fizz,Ezreal,Kaisa,Pyke,Blitzcrank,Khazix,Kindred
17946,Pantheon,Malzahar,Renekton,Galio,Kaisa,Lucian,Bard,Leona,Gragas,Camille
17947,Riven,Jax,Ezreal,Qiyana,Kaisa,MissFortune,Braum,Leona,Zac,Gragas
17948,Sylas,Akali,Aatrox,Ezreal,Kaisa,Lucian,Janna,Shen,Gragas,Nidalee
17949,Pantheon,Jax,Yasuo,Rumble,Lucian,Ezreal,Nautilus,Galio,Gragas,Nocturne
17951,Camille,Renekton,AurelionSol,Fizz,Kalista,Kaisa,Thresh,Blitzcrank,Elise,Karthus
17955,Sylas,Darius,Irelia,Yasuo,Sivir,Lucian,Yuumi,Swain,Gragas,LeeSin
17957,Sylas,Vayne,Zoe,Kled,Xayah,Caitlyn,Rakan,Fiddlesticks,Nunu,Karthus
17958,Vladimir,Garen,Kaisa,Azir,Tristana,Kaisa,Thresh,Lux,Malphite,Kindred
17960,Renekton,Kayle,Ryze,Azir,Vayne,Jinx,Blitzcrank,Thresh,Graves,LeeSin
17965,Heimerdinger,Yasuo,Lissandra,Galio,Kaisa,Lucian,Leona,Soraka,Rengar,Evelynn
17969,Riven,Vayne,Ahri,TwistedFate,Ashe,Kaisa,Soraka,Nami,Kayn,Kayn
17971,Quinn,Jayce,Zoe,Taliyah,Draven,Ezreal,Thresh,Fiddlesticks,Nidalee,LeeSin
17973,Vladimir,Rumble,Corki,Ryze,Ashe,Ezreal,Braum,Blitzcrank,Elise,LeeSin
17975,Lucian,Rammus,Pyke,Talon,Kaisa,Ezreal,Janna,Morgana,Elise,LeeSin
17976,Akali,Jax,TwistedFate,Ryze,MissFortune,Kaisa,Xerath,Blitzcrank,Kindred,LeeSin
17977,Jayce,Rumble,Zoe,Kassadin,Kaisa,Ezreal,Pyke,TahmKench,LeeSin,Kindred
17980,Fiora,Aatrox,AurelionSol,Akali,Kaisa,Ashe,Morgana,Rakan,JarvanIV,LeeSin
17983,Fiora,Ryze,TwistedFate,Yasuo,Kaisa,Tristana,Volibear,Nautilus,LeeSin,Ekko
17984,Gangplank,Vladimir,Fizz,TwistedFate,Kaisa,Sivir,Blitzcrank,Leona,Nidalee,LeeSin
17996,Darius,Poppy,Katarina,Kassadin,Vayne,Kaisa,Gragas,Leona,JarvanIV,Graves
17998,Renekton,Pantheon,Zoe,Ryze,Kaisa,Xayah,Nautilus,Rakan,Shyvana,LeeSin
17999,Ryze,Jayce,Taliyah,Leblanc,Varus,Kindred,Pyke,Karma,Khazix,LeeSin
18002,Illaoi,Jax,Qiyana,Renekton,Xayah,Kaisa,Rakan,Janna,LeeSin,Nidalee
18006,Renekton,Gangplank,Annie,Poppy,Varus,Jinx,Lux,Thresh,LeeSin,Elise
18009,Riven,Kled,Karma,Yasuo,Ezreal,Lucian,TahmKench,Volibear,Olaf,Elise
18017,Nasus,Irelia,Anivia,Karma,Lucian,Ezreal,Nami,Fiddlesticks,LeeSin,Kindred
18021,Vladimir,Nasus,Ryze,Talon,Kindred,Ezreal,Taric,Zilean,LeeSin,Sejuani
18023,Garen,Gangplank,Swain,Akali,Kindred,Vayne,Braum,Shen,Sylas,LeeSin
18031,Aatrox,Irelia,Camille,Sylas,Kaisa,Caitlyn,Rakan,Blitzcrank,Gragas,Ekko
18032,Akali,Aatrox,Leblanc,Sylas,Ezreal,Kaisa,Nami,Pyke,Kindred,LeeSin
18033,Kled,Sylas,Galio,Kayle,Xayah,Kaisa,Pyke,Rakan,LeeSin,Elise
18034,Aatrox,Riven,Ekko,Cassiopeia,Vayne,Kaisa,Bard,Rakan,RekSai,LeeSin
18036,Irelia,Karma,Fiora,Galio,Xayah,Kindred,Pyke,Blitzcrank,Ekko,Shyvana
18037,Jayce,Rumble,Galio,Talon,Kindred,Ashe,Bard,Zyra,Khazix,Gragas
18042,Riven,Darius,Katarina,Irelia,Tristana,Ezreal,Thresh,Yuumi,Aatrox,Karthus
18046,Renekton,Ryze,Aatrox,Garen,Kaisa,Xayah,Volibear,Bard,Elise,LeeSin
18048,Ryze,Gangplank,Renekton,Galio,Lucian,Twitch,Thresh,Volibear,Elise,Ekko
18051,Karma,Renekton,Aatrox,Zoe,Varus,Xayah,Soraka,Lulu,Ivern,LeeSin
18053,Nasus,Ryze,Aatrox,Talon,Ezreal,Xayah,Janna,Rakan,LeeSin,Gragas
18054,Kled,Jayce,Renekton,Qiyana,Xayah,Jinx,Volibear,Thresh,Elise,Taliyah
18059,Riven,Gangplank,Camille,Akali,Kaisa,MissFortune,Anivia,Soraka,Taliyah,Nidalee
18062,Darius,Tryndamere,Malzahar,Anivia,Kaisa,Lucian,Nautilus,Blitzcrank,LeeSin,Olaf
18063,Rengar,Tryndamere,Galio,Anivia,Jinx,Kaisa,Thresh,Fiddlesticks,JarvanIV,LeeSin
18065,Kennen,Tryndamere,Anivia,Ryze,Jinx,Swain,Galio,Blitzcrank,JarvanIV,Ekko
18066,Camille,Fiora,Tryndamere,Ahri,Malzahar,Ezreal,Thresh,Soraka,Ekko,Graves
18070,Jax,Ryze,Renekton,Leblanc,Caitlyn,MissFortune,Thresh,Leona,Karthus,LeeSin
18072,Jayce,Tryndamere,Vladimir,AurelionSol,Ashe,Draven,Rakan,Thresh,Ekko,Karthus
18076,Irelia,Ryze,Qiyana,Syndra,Kalista,Kaisa,Nautilus,Poppy,Khazix,Kindred
18078,Jax,Heimerdinger,Yasuo,Aatrox,Ezreal,Kaisa,Gragas,Blitzcrank,LeeSin,Ekko
18080,Jax,Fiora,Akali,Ryze,Xayah,Kaisa,Rakan,Thresh,Elise,Camille
18081,Riven,Vladimir,Zilean,Talon,Kaisa,Lucian,Blitzcrank,Ornn,Karthus,Ekko
18089,Jayce,Jax,Talon,Lucian,Ezreal,Kaisa,Thresh,Pyke,Elise,Ekko
18090,Malphite,Jayce,Leblanc,Akali,Lucian,Kaisa,Gragas,Pyke,Olaf,Kindred
18092,Irelia,Kayle,Fizz,Ryze,Xayah,Lucian,Rakan,Gragas,Qiyana,Kindred
18094,Camille,Kled,Qiyana,Yasuo,Lucian,Xayah,Leona,Swain,XinZhao,Gragas
18107,Jax,Mordekaiser,Aatrox,Qiyana,Xayah,Kaisa,Volibear,Sona,Elise,Karthus
18109,Jax,Vladimir,Ekko,Orianna,Xayah,Tristana,Leona,Rakan,Nidalee,RekSai
18112,Tryndamere,Ryze,Talon,Qiyana,Ezreal,Kaisa,Alistar,Thresh,Ekko,Shyvana
18114,Tryndamere,Kayle,Talon,Pantheon,Ezreal,Kaisa,Braum,Ornn,Elise,Camille
18115,Kled,Tryndamere,Zoe,Leblanc,Jinx,MissFortune,Fiddlesticks,Leona,LeeSin,Khazix
18116,Fiora,Tryndamere,Galio,Akali,Heimerdinger,Lucian,Zyra,Leona,Kindred,Hecarim
18118,Garen,Renekton,Zoe,Akali,Cassiopeia,Xayah,Camille,Leona,Qiyana,Taliyah
18123,Tryndamere,Kled,Akali,Leblanc,Jinx,Ezreal,Blitzcrank,Shaco,Gragas,LeeSin
18124,Tryndamere,Fiora,Ahri,Akali,Varus,Lucian,Blitzcrank,Pyke,Ekko,Taliyah
18125,Camille,Tryndamere,Vladimir,Ryze,MissFortune,Kaisa,Soraka,Fiddlesticks,Shaco,LeeSin
18129,Camille,Kayle,Ryze,Jayce,Kaisa,Ezreal,Pyke,Fiddlesticks,LeeSin,Elise
18130,Kayle,Riven,Ryze,Orianna,Caitlyn,Kaisa,Morgana,Sion,LeeSin,Rammus
18132,Jax,Akali,Malzahar,Qiyana,Kaisa,Ezreal,Nautilus,Blitzcrank,RekSai,JarvanIV
18133,Pantheon,Camille,Yasuo,Vladimir,Caitlyn,Lucian,Morgana,Zyra,Gragas,LeeSin
18136,Jax,Irelia,Yasuo,TwistedFate,Kaisa,Xayah,Nautilus,Velkoz,Gragas,RekSai
18139,Darius,Kayle,Heimerdinger,Jayce,Xayah,Kaisa,Rakan,Thresh,Gragas,Karthus
18141,Garen,Zilean,Katarina,Akali,Xayah,Lucian,Leona,Nautilus,Elise,RekSai
18142,Vayne,Kayle,Rumble,Zoe,Xayah,Kaisa,Sion,Janna,Zac,Olaf
18145,Jayce,Jax,Akali,Sylas,Vayne,Xayah,Blitzcrank,Rakan,Ekko,Taliyah
18151,Kayle,Mordekaiser,Yasuo,Camille,Lucian,Kaisa,Leona,Blitzcrank,Gragas,Elise
18159,Kayle,Fiora,Yasuo,Azir,Kaisa,MissFortune,Thresh,Pyke,Gragas,Elise
18160,Jax,Kayle,Akali,Leblanc,MissFortune,Lucian,Sona,Zilean,Gragas,LeeSin
18162,Kayle,Fiora,Qiyana,Fizz,Xayah,Kaisa,Leona,Rakan,Nidalee,XinZhao
18165,Kayle,Fiora,Anivia,Ryze,Jhin,Ashe,Rakan,Gragas,Graves,LeeSin
18168,Jayce,Vladimir,Irelia,Talon,Kaisa,Xayah,Nautilus,Rakan,Taliyah,Gragas
18173,Shen,Jax,Neeko,Irelia,Xayah,Lucian,Leona,Rakan,Gragas,LeeSin
18176,Heimerdinger,Aatrox,Rumble,TwistedFate,Xayah,Kaisa,Bard,Rakan,XinZhao,Kayn
18178,Lucian,Akali,TwistedFate,AurelionSol,Kaisa,Xayah,Nautilus,Bard,XinZhao,Khazix
18185,Jayce,Jax,Qiyana,Ryze,Taliyah,Ezreal,Thresh,Braum,Ekko,Nidalee
18187,Kennen,Fiora,Rumble,Akali,Lucian,Caitlyn,Leona,TahmKench,LeeSin,Nidalee
18189,Camille,Aatrox,Ryze,Akali,Draven,Heimerdinger,Thresh,Swain,LeeSin,Qiyana
18191,Akali,Fiora,Ezreal,Sivir,Xayah,Caitlyn,Volibear,Pyke,Shyvana,Gragas
18195,Jayce,Aatrox,Zoe,Akali,MissFortune,Ezreal,Leona,Pyke,Gragas,LeeSin
18199,Camille,Riven,Ryze,Rumble,Kaisa,Sivir,Alistar,Bard,LeeSin,Kindred
18200,Gnar,Jayce,Zoe,Ryze,Jinx,Draven,Bard,Thresh,Ekko,RekSai
18204,Quinn,Riven,Akali,Gangplank,Tristana,Vayne,Taric,Zyra,Evelynn,Gnar
